買賣租管;ㄇㄞㄇㄞㄗㄨㄍㄨㄢ;maimaizuguan
P&J庭園設計工程公司‧游泳池維修清潔保養;P&Jㄊ一ㄥㄩㄢㄕㄜㄐ一ㄍㄨㄥㄔㄥㄍㄨㄥㄙ‧一ㄡㄩㄥㄔㄨㄟㄒ一ㄡㄑ一ㄥㄐ一ㄝㄅㄠ一ㄤ;P&Jtingyuanshejigongchenggongsi‧youyongchiweixiuqingjiebaoyang
菜牌看板;ㄘㄞㄆㄞㄎㄢㄅㄢ;caipaikanban
林正雄醫師;ㄌ一ㄣㄓㄥㄒㄩㄥ一ㄕ;linzhengxiongyishi
掃毒軟體;ㄙㄠㄉㄨㄖㄨㄢㄊ一;saoduruanti
出國留學;ㄔㄨㄍㄨㄛㄌ一ㄡㄒㄩㄝ;chuguoliuxue
房產加名;ㄈㄤㄔㄢㄐ一ㄚㄇ一ㄥ;fangchanjiaming
喬成建築師;ㄑ一ㄠㄔㄥㄐ一ㄢㄓㄨㄕ;qiaochengjianzhushi
精緻視覺;ㄐ一ㄥㄓㄕㄐㄩㄝ,ㄐ一ㄥㄓㄕㄐ一ㄠ;jingzhishijue,jingzhishijiao
海外快遞;ㄏㄞㄨㄞㄎㄨㄞㄉ一;haiwaikuaidi
理石磁磚;ㄌ一ㄉㄢㄘㄓㄨㄢ,ㄌ一ㄕㄘㄓㄨㄢ;lishicizhuan,lidancizhuan
丹尼電腦;ㄉㄢㄋ一ㄉ一ㄢㄋㄠ;dannidiannao
生薑片;ㄕㄥㄐ一ㄤㄆ一ㄢ;shengjiangpian
電視買賣;ㄉ一ㄢㄕㄇㄞㄇㄞ;dianshimaimai
南加州台灣人長輩會;ㄋㄢㄐ一ㄚㄓㄡㄊㄞㄨㄢㄖㄣㄓㄤㄅㄟㄏㄨㄟ,ㄋㄢㄐ一ㄚㄓㄡㄊㄞㄨㄢㄖㄣㄓㄤㄅㄟㄎㄨㄞ,ㄋㄢㄐ一ㄚㄓㄡㄊㄞㄨㄢㄖㄣㄔㄤㄅㄟㄏㄨㄟ,ㄋㄢㄐ一ㄚㄓㄡㄊㄞㄨㄢㄖㄣㄔㄤㄅㄟㄎㄨㄞ;nanjiazhoutaiwanrenchangbeikuai,nanjiazhoutaiwanrenchangbeihui,nanjiazhoutaiwanrenzhangbeikuai,nanjiazhoutaiwanrenzhangbeihui
子平算命;ㄗㄆ一ㄥㄙㄨㄢㄇ一ㄥ;zipingsuanming
淋病;ㄌ一ㄣㄅ一ㄥ;linbing
汽車冷暖氣修理;ㄑ一ㄔㄜㄌㄥㄋㄨㄢㄑ一ㄒ一ㄡㄌ一,ㄑ一ㄐㄩㄌㄥㄋㄨㄢㄑ一ㄒ一ㄡㄌ一;qijulengnuanqixiuli,qichelengnuanqixiuli
NEWCON會計師事務所─甘志榮會計師;NEWCONㄏㄨㄟㄐ一ㄕㄕㄨㄙㄨㄛ─ㄍㄢㄓㄖㄨㄥㄏㄨㄟㄐ一ㄕ,NEWCONㄏㄨㄟㄐ一ㄕㄕㄨㄙㄨㄛ─ㄍㄢㄓㄖㄨㄥㄎㄨㄞㄐ一ㄕ,NEWCONㄎㄨㄞㄐ一ㄕㄕㄨㄙㄨㄛ─ㄍㄢㄓㄖㄨㄥㄏㄨㄟㄐ一ㄕ,NEWCONㄎㄨㄞㄐ一ㄕㄕㄨㄙㄨㄛ─ㄍㄢㄓㄖㄨㄥㄎㄨㄞㄐ一ㄕ;NEWCONkuaijishishiwusuo─ganzhirongkuaijishi,NEWCONkuaijishishiwusuo─ganzhironghuijishi,NEWCONhuijishishiwusuo─ganzhirongkuaijishi,NEWCONhuijishishiwusuo─ganzhironghuijishi
包皮紅腫發炎;ㄅㄠㄆ一ㄏㄨㄥㄓㄨㄥㄈㄚ一ㄢ;baopihongzhongfayan
柔似蜜社區門診中心─許明彰醫師;ㄖㄡㄙㄇ一ㄕㄜㄑㄩㄇㄣㄓㄣㄓㄨㄥㄒ一ㄣ─ㄒㄩㄇ一ㄥㄓㄤ一ㄕ;rousimishequmenzhenzhongxin─xumingzhangyishi
工業‧商業門專業維修;ㄍㄨㄥ一ㄝ‧ㄕㄤ一ㄝㄇㄣㄓㄨㄢ一ㄝㄨㄟㄒ一ㄡ;gongye‧shangyemenzhuanyeweixiu
鐵金剛;ㄊ一ㄝㄐ一ㄣㄍㄤ;tiejingang
何中梅眼科視學醫師;ㄏㄜㄓㄨㄥㄇㄟ一ㄢㄎㄜㄕㄒㄩㄝ一ㄕ;hezhongmeiyankeshixueyishi
修理插座;ㄒ一ㄡㄌ一ㄔㄚㄗㄨㄛ;xiulichazuo
梁宏醫學博士;ㄌ一ㄤㄏㄨㄥ一ㄒㄩㄝㄅㄛㄕ;lianghongyixueboshi
職業介紹所;ㄓ一ㄝㄐ一ㄝㄕㄠㄙㄨㄛ;zhiyejieshaosuo
加建Permit;ㄐ一ㄚㄐ一ㄢPermit;jiajianPermit
CNK庭園設計‧營造工程公司;CNKㄊ一ㄥㄩㄢㄕㄜㄐ一‧一ㄥㄗㄠㄍㄨㄥㄔㄥㄍㄨㄥㄙ;CNKtingyuansheji‧yingzaogongchenggongsi
抗衰老科;ㄎㄤㄕㄨㄞㄌㄠㄎㄜ,ㄎㄤㄘㄨㄟㄌㄠㄎㄜ;kangshuailaoke,kangcuilaoke
醫生藥單;一ㄕㄥ一ㄠㄉㄢ,一ㄕㄥ一ㄠㄔㄢ,一ㄕㄥ一ㄠㄕㄢ;yishengyaoshan,yishengyaodan,yishengyaochan
日式海鮮自助餐;ㄖㄕㄏㄞㄒ一ㄢㄗㄓㄨㄘㄢ;rishihaixianzizhucan
長青樹;ㄓㄤㄑ一ㄥㄕㄨ,ㄔㄤㄑ一ㄥㄕㄨ;changqingshu,zhangqingshu
三鮮水餃;ㄙㄢㄒ一ㄢㄕㄨㄟㄐ一ㄠ;sanxianshuijiao
小臉;ㄒ一ㄠㄌ一ㄢ;xiaolian
林氏汽車;ㄌ一ㄣㄕㄑ一ㄔㄜ,ㄌ一ㄣㄕㄑ一ㄐㄩ;linshiqiju,linshiqiche
機場小巴;ㄐ一ㄔㄤㄒ一ㄠㄅㄚ;jichangxiaoba
麟凱管理公司─王森;ㄌ一ㄣㄎㄞㄍㄨㄢㄌ一ㄍㄨㄥㄙ─ㄨㄤㄙㄣ;linkaiguanligongsi─wangsen
船運貸款;ㄔㄨㄢㄩㄣㄉㄞㄎㄨㄢ;chuanyundaikuan
內陸運輸;ㄋㄟㄌ一ㄡㄩㄣㄕㄨ,ㄋㄟㄌㄨㄩㄣㄕㄨ;neiliuyunshu,neiluyunshu
幫派;ㄅㄤㄆㄞ;bangpai
阿五美食─河南菜;ㄜㄨㄇㄟㄕ─ㄏㄜㄋㄢㄘㄞ,ㄜㄨㄇㄟㄙ─ㄏㄜㄋㄢㄘㄞ,ㄚㄨㄇㄟㄕ─ㄏㄜㄋㄢㄘㄞ,ㄚㄨㄇㄟㄙ─ㄏㄜㄋㄢㄘㄞ;awumeishi─henancai,awumeisi─henancai,ewumeishi─henancai,ewumeisi─henancai
倉儲服務;ㄘㄤㄔㄨㄈㄨㄨ,ㄘㄤㄔㄨㄅ一ㄨ;cangchubiwu,cangchufuwu
祥生健康食品公司;ㄒ一ㄤㄕㄥㄐ一ㄢㄎㄤㄕㄆ一ㄣㄍㄨㄥㄙ,ㄒ一ㄤㄕㄥㄐ一ㄢㄎㄤㄙㄆ一ㄣㄍㄨㄥㄙ;xiangshengjiankangshipingongsi,xiangshengjiankangsipingongsi
牙科矯正;一ㄚㄎㄜㄐ一ㄠㄓㄥ;yakejiaozheng
捲餅;ㄐㄩㄢㄅ一ㄥ;juanbing
旅館裝潢;ㄌㄩㄍㄨㄢㄓㄨㄤㄏㄨㄤ;lvguanzhuanghuang
宗教人士移民;ㄗㄨㄥㄐ一ㄠㄖㄣㄕ一ㄇ一ㄣ;zongjiaorenshiyimin
天天駕駛學校;ㄊ一ㄢㄊ一ㄢㄐ一ㄚㄕㄒㄩㄝㄐ一ㄠ,ㄊ一ㄢㄊ一ㄢㄐ一ㄚㄕㄒㄩㄝㄒ一ㄠ;tiantianjiashixuexiao,tiantianjiashixuejiao
名佳餐桌椅工廠;ㄇ一ㄥㄐ一ㄚㄘㄢㄓㄨㄛ一ㄍㄨㄥㄔㄤ;mingjiacanzhuoyigongchang
紐約留學;ㄋ一ㄡ一ㄠㄌ一ㄡㄒㄩㄝ,ㄋ一ㄡㄩㄝㄌ一ㄡㄒㄩㄝ;niuyaoliuxue,niuyueliuxue
電器精修;ㄉ一ㄢㄑ一ㄐ一ㄥㄒ一ㄡ;dianqijingxiu
美聯地產─王森;ㄇㄟㄌ一ㄢㄉ一ㄔㄢ─ㄨㄤㄙㄣ,ㄇㄟㄌ一ㄢㄉㄜㄔㄢ─ㄨㄤㄙㄣ;meiliandechan─wangsen,meiliandichan─wangsen
老人健保計劃;ㄌㄠㄖㄣㄐ一ㄢㄅㄠㄐ一ㄏㄨㄚ;laorenjianbaojihua
出生證明;ㄔㄨㄕㄥㄓㄥㄇ一ㄥ;chushengzhengming
債務追討;ㄓㄞㄨㄓㄨㄟㄊㄠ;zhaiwuzhuitao
香港良記(三和)燒臘小廚;ㄒ一ㄤㄍㄤㄌ一ㄤㄐ一(ㄙㄢㄏㄨㄛ)ㄕㄠㄌㄚㄒ一ㄠㄔㄨ,ㄒ一ㄤㄍㄤㄌ一ㄤㄐ一(ㄙㄢㄏㄢ)ㄕㄠㄌㄚㄒ一ㄠㄔㄨ,ㄒ一ㄤㄍㄤㄌ一ㄤㄐ一(ㄙㄢㄏㄜ)ㄕㄠㄌㄚㄒ一ㄠㄔㄨ;xianggangliangji(sanhuo)shaolaxiaochu,xianggangliangji(sanhan)shaolaxiaochu,xianggangliangji(sanhe)shaolaxiaochu
超音波電子掃瞄;ㄔㄠ一ㄣㄅㄟㄉ一ㄢㄗㄙㄠㄇ一ㄠ,ㄔㄠ一ㄣㄅ一ㄉ一ㄢㄗㄙㄠㄇ一ㄠ,ㄔㄠ一ㄣㄅㄛㄉ一ㄢㄗㄙㄠㄇ一ㄠ;chaoyinbodianzisaomiao,chaoyinbidianzisaomiao,chaoyinbeidianzisaomiao
商務套房;ㄕㄤㄨㄊㄠㄈㄤ;shangwutaofang
張達強中醫師;ㄓㄤㄉㄚㄑ一ㄤㄓㄨㄥ一ㄕ;zhangdaqiangzhongyishi
陳紅健保與理財;ㄔㄣㄏㄨㄥㄐ一ㄢㄅㄠㄩㄌ一ㄘㄞ;chenhongjianbaoyulicai
拔牙;ㄅㄟ一ㄚ,ㄅㄚ一ㄚ;beiya,baya
張秀慧律師事務所;ㄓㄤㄒ一ㄡㄏㄨㄟㄌㄩㄕㄕㄨㄙㄨㄛ;zhangxiuhuilvshishiwusuo
電腦速成班;ㄉ一ㄢㄋㄠㄙㄨㄔㄥㄅㄢ;diannaosuchengban
康寶萊代餐營養減肥公司;ㄎㄤㄅㄠㄌㄞㄉㄞㄘㄢ一ㄥ一ㄤㄐ一ㄢㄈㄟㄍㄨㄥㄙ,ㄎㄤㄅㄠㄌㄞㄉㄞㄘㄢ一ㄥ一ㄤㄐ一ㄢㄅ一ㄍㄨㄥㄙ;kangbaolaidaicanyingyangjianbigongsi,kangbaolaidaicanyingyangjianfeigongsi
SCHAEFER'S救護服務;SCHAEFER'Sㄐ一ㄡㄏㄨㄈㄨㄨ,SCHAEFER'Sㄐ一ㄡㄏㄨㄅ一ㄨ;SCHAEFER'Sjiuhubiwu,SCHAEFER'Sjiuhufuwu
牛肉麵;ㄋ一ㄡㄖㄡㄇ一ㄢ;niuroumian
達勝聯合律師事務所;ㄉㄚㄕㄥㄌ一ㄢㄍㄜㄌㄩㄕㄕㄨㄙㄨㄛ,ㄉㄚㄕㄥㄌ一ㄢㄏㄜㄌㄩㄕㄕㄨㄙㄨㄛ;dashengliangelvshishiwusuo,dashenglianhelvshishiwusuo
鋼琴包裝搬運;ㄍㄤㄑ一ㄣㄅㄠㄓㄨㄤㄅㄢㄩㄣ;gangqinbaozhuangbanyun
品牌再造;ㄆ一ㄣㄆㄞㄗㄞㄗㄠ;pinpaizaizao
銀星汽車修理保養廠;一ㄣㄒ一ㄥㄑ一ㄔㄜㄒ一ㄡㄌ一ㄅㄠ一ㄤㄔㄤ,一ㄣㄒ一ㄥㄑ一ㄐㄩㄒ一ㄡㄌ一ㄅㄠ一ㄤㄔㄤ;yinxingqijuxiulibaoyangchang,yinxingqichexiulibaoyangchang
樂宮足浴;ㄌㄜㄍㄨㄥㄗㄨㄩ,ㄩㄝㄍㄨㄥㄗㄨㄩ;legongzuyu,yuegongzuyu
ABJ淨水˙公司;ABJㄐ一ㄥㄕㄨㄟ˙ㄍㄨㄥㄙ;ABJjingshui˙gongsi
蜜蜂;ㄇ一ㄈㄥ;mifeng
睿迪教育中心;ㄖㄨㄟㄉ一ㄐ一ㄠㄩㄓㄨㄥㄒ一ㄣ;ruidijiaoyuzhongxin
商業地板;ㄕㄤ一ㄝㄉ一ㄅㄢ,ㄕㄤ一ㄝㄉㄜㄅㄢ;shangyedeban,shangyediban
爆爆珠;ㄅㄠㄅㄠㄓㄨ;baobaozhu
核桃市第一華人浸信會;ㄏㄜㄊㄠㄕㄉ一一ㄏㄨㄚㄖㄣㄐ一ㄣㄒ一ㄣㄏㄨㄟ,ㄏㄜㄊㄠㄕㄉ一一ㄏㄨㄚㄖㄣㄐ一ㄣㄒ一ㄣㄎㄨㄞ;hetaoshidiyihuarenjinxinkuai,hetaoshidiyihuarenjinxinhui
快速印刷;ㄎㄨㄞㄙㄨ一ㄣㄕㄨㄚ;kuaisuyinshua
預售顧問;ㄩㄕㄡㄍㄨㄨㄣ;yushouguwen
免除增值稅;ㄇ一ㄢㄔㄨㄗㄥㄓㄕㄨㄟ;mianchuzengzhishui
旺盛國際旅遊集團;ㄨㄤㄕㄥㄍㄨㄛㄐ一ㄌㄩ一ㄡㄐ一ㄊㄨㄢ,ㄨㄤㄔㄥㄍㄨㄛㄐ一ㄌㄩ一ㄡㄐ一ㄊㄨㄢ;wangshengguojilvyoujituan,wangchengguojilvyoujituan
太陽能光板生產;ㄊㄞ一ㄤㄋㄥㄍㄨㄤㄅㄢㄕㄥㄔㄢ;taiyangnengguangbanshengchan
住宅地產;ㄓㄨㄓㄞㄉ一ㄔㄢ,ㄓㄨㄓㄞㄉㄜㄔㄢ;zhuzhaidechan,zhuzhaidichan
聯邦刑事;ㄌ一ㄢㄅㄤㄒ一ㄥㄕ;lianbangxingshi
年金保險;ㄋ一ㄢㄐ一ㄣㄅㄠㄒ一ㄢ;nianjinbaoxian
求運勢;ㄑ一ㄡㄩㄣㄕ;qiuyunshi
楊儀醫師－大華牙科;一ㄤ一一ㄕ－ㄉㄚㄏㄨㄚ一ㄚㄎㄜ,一ㄤ一一ㄕ－ㄉㄞㄏㄨㄚ一ㄚㄎㄜ;yangyiyishi－daihuayake,yangyiyishi－dahuayake
富達投資;ㄈㄨㄉㄚㄊㄡㄗ;fudatouzi
庭園瀑布;ㄊ一ㄥㄩㄢㄆㄨㄅㄨ,ㄊ一ㄥㄩㄢㄅㄠㄅㄨ;tingyuanbaobu,tingyuanpubu
太田幸天醫師;ㄊㄞㄊ一ㄢㄒ一ㄥㄊ一ㄢ一ㄕ;taitianxingtianyishi
起訴;ㄑ一ㄙㄨ;qisu
蔡玻璃鏡子;ㄘㄞㄅㄛㄌ一ㄐ一ㄥㄗ;caibolijingzi
劉慶生商業律師行;ㄌ一ㄡㄑ一ㄥㄕㄥㄕㄤ一ㄝㄌㄩㄕㄒ一ㄥ,ㄌ一ㄡㄑ一ㄥㄕㄥㄕㄤ一ㄝㄌㄩㄕㄏㄤ;liuqingshengshangyelvshixing,liuqingshengshangyelvshihang
日本超級市場;ㄖㄅㄣㄔㄠㄐ一ㄕㄔㄤ;ribenchaojishichang
儀器;一ㄑ一;yiqi
許正雄牙醫師;ㄒㄩㄓㄥㄒㄩㄥ一ㄚ一ㄕ;xuzhengxiongyayishi
時代地產雜誌;ㄕㄉㄞㄉ一ㄔㄢㄗㄚㄓ,ㄕㄉㄞㄉㄜㄔㄢㄗㄚㄓ;shidaidechanzazhi,shidaidichanzazhi
韓鵬飛婦產科醫師;ㄏㄢㄆㄥㄈㄟㄈㄨㄔㄢㄎㄜ一ㄕ;hanpengfeifuchankeyishi
羅蘭崗;ㄌㄨㄛㄌㄢㄍㄤ;luolangang
華埠安全協會;ㄏㄨㄚㄅㄨㄢㄑㄩㄢㄒ一ㄝㄏㄨㄟ,ㄏㄨㄚㄅㄨㄢㄑㄩㄢㄒ一ㄝㄎㄨㄞ;huabuanquanxiekuai,huabuanquanxiehui
美國素食公司;ㄇㄟㄍㄨㄛㄙㄨㄕㄍㄨㄥㄙ,ㄇㄟㄍㄨㄛㄙㄨㄙㄍㄨㄥㄙ;meiguosushigongsi,meiguosusigongsi
複寫;複ㄒ一ㄝ;複xie
冰箱維修;ㄅ一ㄥㄒ一ㄤㄨㄟㄒ一ㄡ;bingxiangweixiu
兄弟清潔用品公司;ㄒㄩㄥㄉ一ㄑ一ㄥㄐ一ㄝㄩㄥㄆ一ㄣㄍㄨㄥㄙ;xiongdiqingjieyongpingongsi
武術館;ㄨㄕㄨㄍㄨㄢ;wushuguan
電腦基礎課程;ㄉ一ㄢㄋㄠㄐ一ㄔㄨㄎㄜㄔㄥ;diannaojichukecheng
婚紗造型;ㄏㄨㄣㄕㄚㄗㄠㄒ一ㄥ;hunshazaoxing
德通公司;ㄉㄜㄊㄨㄥㄍㄨㄥㄙ;detonggongsi
易利地毯‧地板;一ㄌ一ㄉ一ㄊㄢ‧ㄉ一ㄅㄢ,一ㄌ一ㄉ一ㄊㄢ‧ㄉㄜㄅㄢ,一ㄌ一ㄉㄜㄊㄢ‧ㄉ一ㄅㄢ,一ㄌ一ㄉㄜㄊㄢ‧ㄉㄜㄅㄢ;yilidetan‧deban,yilidetan‧diban,yiliditan‧deban,yiliditan‧diban
雲林縣;ㄩㄣㄌ一ㄣㄒ一ㄢ;yunlinxian
肝膽腸胃;ㄍㄢㄉㄢㄔㄤㄨㄟ;gandanchangwei
奶茶;ㄋㄞㄔㄚ;naicha
企業會計;ㄑ一一ㄝㄏㄨㄟㄐ一,ㄑ一一ㄝㄎㄨㄞㄐ一,ㄑ一ㄠ一ㄝㄏㄨㄟㄐ一,ㄑ一ㄠ一ㄝㄎㄨㄞㄐ一;qiyekuaiji,qiyehuiji,qiaoyekuaiji,qiaoyehuiji
靜脈炎;ㄐ一ㄥㄇㄞ一ㄢ;jingmaiyan
陶發月曆精品批發中心;ㄊㄠㄈㄚㄩㄝㄌ一ㄐ一ㄥㄆ一ㄣㄆ一ㄈㄚㄓㄨㄥㄒ一ㄣ;taofayuelijingpinpifazhongxin
贈品;ㄗㄥㄆ一ㄣ;zengpin
庭院山坡地整理;ㄊ一ㄥㄩㄢㄕㄢㄆㄛㄉ一ㄓㄥㄌ一,ㄊ一ㄥㄩㄢㄕㄢㄆㄛㄉㄜㄓㄥㄌ一;tingyuanshanpodezhengli,tingyuanshanpodizhengli
買賣辦公室買賣;ㄇㄞㄇㄞㄅㄢㄍㄨㄥㄕㄇㄞㄇㄞ;maimaibangongshimaimai
移民報關;一ㄇ一ㄣㄅㄠㄍㄨㄢ;yiminbaoguan
光明眼鏡;ㄍㄨㄤㄇ一ㄥ一ㄢㄐ一ㄥ;guangmingyanjing
尿液異常分析;ㄙㄨㄟ一ㄝ一ㄔㄤㄈㄣㄒ一,ㄋ一ㄠ一ㄝ一ㄔㄤㄈㄣㄒ一;niaoyeyichangfenxi,suiyeyichangfenxi
商業用冰箱維修;ㄕㄤ一ㄝㄩㄥㄅ一ㄥㄒ一ㄤㄨㄟㄒ一ㄡ;shangyeyongbingxiangweixiu
詮通電腦;ㄑㄩㄢㄊㄨㄥㄉ一ㄢㄋㄠ;quantongdiannao
野獸餐廳;一ㄝㄕㄡㄘㄢㄊ一ㄥ;yeshoucanting
常年光明燈;ㄔㄤㄋ一ㄢㄍㄨㄤㄇ一ㄥㄉㄥ;changnianguangmingdeng
越洋貨運;ㄩㄝ一ㄤㄏㄨㄛㄩㄣ;yueyanghuoyun
帝國婚紗攝影禮服公司;ㄉ一ㄍㄨㄛㄏㄨㄣㄕㄚㄕㄜ一ㄥㄌ一ㄈㄨㄍㄨㄥㄙ,ㄉ一ㄍㄨㄛㄏㄨㄣㄕㄚㄕㄜ一ㄥㄌ一ㄅ一ㄍㄨㄥㄙ;diguohunshasheyinglibigongsi,diguohunshasheyinglifugongsi
室內人造花藝設計;ㄕㄋㄟㄖㄣㄗㄠㄏㄨㄚ一ㄕㄜㄐ一;shineirenzaohuayisheji
加惠保險理財服務中心;ㄐ一ㄚㄏㄨㄟㄅㄠㄒ一ㄢㄌ一ㄘㄞㄈㄨㄨㄓㄨㄥㄒ一ㄣ,ㄐ一ㄚㄏㄨㄟㄅㄠㄒ一ㄢㄌ一ㄘㄞㄅ一ㄨㄓㄨㄥㄒ一ㄣ;jiahuibaoxianlicaibiwuzhongxin,jiahuibaoxianlicaifuwuzhongxin
貸款零費用;ㄉㄞㄎㄨㄢㄌ一ㄥㄈㄟㄩㄥ,ㄉㄞㄎㄨㄢㄌ一ㄥㄅ一ㄩㄥ;daikuanlingbiyong,daikuanlingfeiyong
柴油引擎;ㄔㄞ一ㄡ一ㄣㄑ一ㄥ;chaiyouyinqing
固定牙冠牙橋;ㄍㄨㄉ一ㄥ一ㄚㄍㄨㄢ一ㄚㄑ一ㄠ;gudingyaguanyaqiao
膽病;ㄉㄢㄅ一ㄥ;danbing
中租金融財務公司;ㄓㄨㄥㄗㄨㄐ一ㄣㄖㄨㄥㄘㄞㄨㄍㄨㄥㄙ;zhongzujinrongcaiwugongsi
馬京生律師事務所;ㄇㄚㄐ一ㄥㄕㄥㄌㄩㄕㄕㄨㄙㄨㄛ;majingshenglvshishiwusuo
眼鏡展示架;一ㄢㄐ一ㄥㄓㄢㄕㄐ一ㄚ;yanjingzhanshijia
身分識別系統;ㄕㄣㄈㄣㄕㄅ一ㄝㄒ一ㄊㄨㄥ,ㄕㄣㄈㄣㄓㄅ一ㄝㄒ一ㄊㄨㄥ;shenfenzhibiexitong,shenfenshibiexitong
X光;Xㄍㄨㄤ;Xguang
優力腦安康;一ㄡㄌ一ㄋㄠㄢㄎㄤ;youlinaoankang
約翰史東冷凍設備零件供應;一ㄠㄏㄢㄕㄉㄨㄥㄌㄥㄉㄨㄥㄕㄜㄅㄟㄌ一ㄥㄐ一ㄢㄍㄨㄥ一ㄥ,ㄩㄝㄏㄢㄕㄉㄨㄥㄌㄥㄉㄨㄥㄕㄜㄅㄟㄌ一ㄥㄐ一ㄢㄍㄨㄥ一ㄥ;yaohanshidonglengdongshebeilingjiangongying,yuehanshidonglengdongshebeilingjiangongying
對講機安裝(Intercom);ㄉㄨㄟㄐ一ㄤㄐ一ㄢㄓㄨㄤ(Intercom);duijiangjianzhuang(Intercom)
(瓷器);(ㄘㄑ一);(ciqi)
強暴;ㄑ一ㄤㄅㄠ;qiangbao
泳池邊石;ㄩㄥㄔㄅ一ㄢㄉㄢ,ㄩㄥㄔㄅ一ㄢㄕ;yongchibianshi,yongchibiandan
配音;ㄆㄟ一ㄣ;peiyin
康樂瓷磚;ㄎㄤㄌㄜㄘㄓㄨㄢ,ㄎㄤㄩㄝㄘㄓㄨㄢ;kanglecizhuan,kangyuecizhuan
去狐臭;ㄑㄩㄏㄨㄔㄡ,ㄑㄩㄏㄨㄒ一ㄡ;quhuxiu,quhuchou
黃穎智醫師;ㄏㄨㄤ一ㄥㄓ一ㄕ;huangyingzhiyishi
裱背;ㄅ一ㄠㄅㄟ;biaobei
技藝;ㄐ一一;jiyi
剎車系統;ㄔㄚㄔㄜㄒ一ㄊㄨㄥ,ㄔㄚㄐㄩㄒ一ㄊㄨㄥ,ㄕㄚㄔㄜㄒ一ㄊㄨㄥ,ㄕㄚㄐㄩㄒ一ㄊㄨㄥ;chajuxitong,chachexitong,shajuxitong,shachexitong
電腦軟體設計;ㄉ一ㄢㄋㄠㄖㄨㄢㄊ一ㄕㄜㄐ一;diannaoruantisheji
口腔腫瘤治療(Tumor);ㄎㄡㄑ一ㄤㄓㄨㄥㄌ一ㄡㄓㄌ一ㄠ(Tumor);kouqiangzhongliuzhiliao(Tumor)
將軍正宗日本料理;ㄐ一ㄤㄐㄩㄣㄓㄥㄗㄨㄥㄖㄅㄣㄌ一ㄠㄌ一;jiangjunzhengzongribenliaoli
過敏治療;ㄍㄨㄛㄇ一ㄣㄓㄌ一ㄠ;guominzhiliao
